ecosystem_type,data_type,year,var,group,old_var,value,units,panel_label
lake,air_temp_hoare_met,1988,air_temp,MET_STATION,Mean DJF air temp (degC),-2.936666667,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,1989,air_temp,MET_STATION,Mean DJF air temp (degC),-4.533333333,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,1990,air_temp,MET_STATION,Mean DJF air temp (degC),-4.106666667,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,1991,air_temp,MET_STATION,Mean DJF air temp (degC),-2.5,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,1992,air_temp,MET_STATION,Mean DJF air temp (degC),-3.97,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,1993,air_temp,MET_STATION,Mean DJF air temp (degC),-3.623333333,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,1994,air_temp,MET_STATION,Mean DJF air temp (degC),-5.556666667,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,1995,air_temp,MET_STATION,Mean DJF air temp (degC),-4.476666667,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,1996,air_temp,MET_STATION,Mean DJF air temp (degC),-3.29,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,1997,air_temp,MET_STATION,Mean DJF air temp (degC),-4.736666667,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,1998,air_temp,MET_STATION,Mean DJF air temp (degC),-4.79,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,1999,air_temp,MET_STATION,Mean DJF air temp (degC),-3.833333333,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2000,air_temp,MET_STATION,Mean DJF air temp (degC),-4.74,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2001,air_temp,MET_STATION,Mean DJF air temp (degC),-5.546666667,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2002,air_temp,MET_STATION,Mean DJF air temp (degC),-3.046666667,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2003,air_temp,MET_STATION,Mean DJF air temp (degC),-4.6,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2004,air_temp,MET_STATION,Mean DJF air temp (degC),-5,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2005,air_temp,MET_STATION,Mean DJF air temp (degC),-4.086666667,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2006,air_temp,MET_STATION,Mean DJF air temp (degC),-3.993333333,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2007,air_temp,MET_STATION,Mean DJF air temp (degC),-4.496666667,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2008,air_temp,MET_STATION,Mean DJF air temp (degC),-4.596666667,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2009,air_temp,MET_STATION,Mean DJF air temp (degC),-5.306666667,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2010,air_temp,MET_STATION,Mean DJF air temp (degC),-4.593333333,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2011,air_temp,MET_STATION,Mean DJF air temp (degC),-4.49,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2012,air_temp,MET_STATION,Mean DJF air temp (degC),-3.843784116,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,2013,air_temp,MET_STATION,Mean DJF air temp (degC),-3.703127315,degC,Mean Summer Air Temperature
lake,air_temp_hoare_met,1988,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),207.3362,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,1989,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),191.7342,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,1990,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),215.1655,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,1991,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),216.0908,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,1992,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),179.4803,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,1993,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),213.2857,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,1994,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),262.9348,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,1995,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),225.5095,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,1996,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),225.4095,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,1997,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),227.2312,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,1998,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),206.5104,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,1999,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),238.0636,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2000,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),248.6453,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2001,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),246.3907,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2002,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),244.2238,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2003,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),230.8272,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2004,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),250.1991,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2005,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),222.1829,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2006,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),229.5254,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2007,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),234.069,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2008,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),236.7522,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2009,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),244.1203,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2010,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),232.8938,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2011,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),229.5793374,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2012,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),248.1586794,W/m2,Mean Summer Solar Flux
lake,air_temp_hoare_met,2013,short_wave_rad,MET_STATION,DJF mean shortwave rad (W/m2),220.5726389,W/m2,Mean Summer Solar Flux
lake,lake_ice_thickness,1988,ice_thickness,ELB,ELB ice (m),,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,1989,ice_thickness,ELB,ELB ice (m),,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,1990,ice_thickness,ELB,ELB ice (m),3.9,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,1991,ice_thickness,ELB,ELB ice (m),3.74,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,1992,ice_thickness,ELB,ELB ice (m),,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,1993,ice_thickness,ELB,ELB ice (m),,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,1994,ice_thickness,ELB,ELB ice (m),,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,1995,ice_thickness,ELB,ELB ice (m),,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,1996,ice_thickness,ELB,ELB ice (m),3.94,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,1997,ice_thickness,ELB,ELB ice (m),4.174444444,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,1998,ice_thickness,ELB,ELB ice (m),4.175,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,1999,ice_thickness,ELB,ELB ice (m),4.48,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2000,ice_thickness,ELB,ELB ice (m),4.66,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2001,ice_thickness,ELB,ELB ice (m),4.746,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2002,ice_thickness,ELB,ELB ice (m),4.881428571,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2003,ice_thickness,ELB,ELB ice (m),4.634,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2004,ice_thickness,ELB,ELB ice (m),4.744,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2005,ice_thickness,ELB,ELB ice (m),4.883333333,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2006,ice_thickness,ELB,ELB ice (m),4.388571429,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2007,ice_thickness,ELB,ELB ice (m),3.603333333,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2008,ice_thickness,ELB,ELB ice (m),3.511,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2009,ice_thickness,ELB,ELB ice (m),3.435,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2010,ice_thickness,ELB,ELB ice (m),3.552857143,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2011,ice_thickness,ELB,ELB ice (m),3.86,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2012,ice_thickness,ELB,ELB ice (m),3.786,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,2013,ice_thickness,ELB,ELB ice (m),3.89,m,Lake Ice Thickness East L Bonney
lake,lake_ice_thickness,1988,ice_thickness,WLB,WLB ice (m),,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,1989,ice_thickness,WLB,WLB ice (m),,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,1990,ice_thickness,WLB,WLB ice (m),3.75,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,1991,ice_thickness,WLB,WLB ice (m),,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,1992,ice_thickness,WLB,WLB ice (m),,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,1993,ice_thickness,WLB,WLB ice (m),,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,1994,ice_thickness,WLB,WLB ice (m),3.5,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,1995,ice_thickness,WLB,WLB ice (m),3.25,m,Lake Ice Thickness West L Bonney
lake,lake_ice_thickness,1996,ice_thickness,WLB,WLB ice (m),3.926666667,m,Lake Ice Thickness West L Bonney
