ecosystem_type,data_type,year,var,group,old_var,value,units
soil,nematodes,1997,total_live,Eudorylaimus,Eudorylaimus total live,13.36024651,# individuals/kg dry soil
soil,nematodes,1999,total_live,Scottnema,Scottnema total live,617.68293,# individuals/kg dry soil
soil,nematodes,1999,total_live,Eudorylaimus,Eudorylaimus total live,18.92448309,# individuals/kg dry soil
soil,nematodes,2002,total_live,Scottnema,Scottnema total live,472.6532769,# individuals/kg dry soil
soil,nematodes,2002,total_live,Eudorylaimus,Eudorylaimus total live,16.27641132,# individuals/kg dry soil
soil,nematodes,2006,total_live,Scottnema,Scottnema total live,210.7417563,# individuals/kg dry soil
soil,nematodes,2006,total_live,Eudorylaimus,Eudorylaimus total live,36.48750936,# individuals/kg dry soil
soil,nematodes,2008,total_live,Scottnema,Scottnema total live,648.4840755,# individuals/kg dry soil
soil,nematodes,2008,total_live,Eudorylaimus,Eudorylaimus total live,50.60994539,# individuals/kg dry soil
soil,nematodes,2009,total_live,Scottnema,Scottnema total live,363.7672008,# individuals/kg dry soil
soil,nematodes,2009,total_live,Eudorylaimus,Eudorylaimus total live,27.68495315,# individuals/kg dry soil
soil,nematodes,2012,total_live,Scottnema,Scottnema total live,715.3279044,# individuals/kg dry soil
soil,nematodes,2012,total_live,Eudorylaimus,Eudorylaimus total live,40.03872297,# individuals/kg dry soil
lake,lake_ice_thickness,1988,ice_thickness,FRX,FRX ice (m),,m
lake,lake_ice_thickness,1988,ice_thickness,HOR,HOR ice (m),,m
lake,lake_ice_thickness,1988,ice_thickness,ELB,ELB ice (m),,m
lake,lake_ice_thickness,1988,ice_thickness,WLB,WLB ice (m),,m
lake,lake_ice_thickness,1989,ice_thickness,FRX,FRX ice (m),,m
lake,lake_ice_thickness,1989,ice_thickness,HOR,HOR ice (m),,m
lake,lake_ice_thickness,1989,ice_thickness,ELB,ELB ice (m),,m
lake,lake_ice_thickness,1989,ice_thickness,WLB,WLB ice (m),,m
lake,lake_ice_thickness,1990,ice_thickness,FRX,FRX ice (m),,m
lake,lake_ice_thickness,1990,ice_thickness,HOR,HOR ice (m),,m
lake,lake_ice_thickness,1990,ice_thickness,ELB,ELB ice (m),3.9,m
